Latitude (decimal degrees):	47.281
Longitude (decimal degrees):	9.671
Elevation (m):	682
Radiation database:	PVGIS-CMSAF


Slope: 0
Azimuth: 0
Date,Bi,Di,Ri,As,Tamb,W10,Int.
20160107:1355,0.00,16.90,0.00,12.74,6.09,4.57,0
20160107:1455,0.00,0.00,0.00,0.00,5.99,4.40,0
20160107:1555,0.00,0.00,0.00,0.00,5.90,4.22,0
20160107:1655,0.00,0.00,0.00,0.00,6.27,3.89,0
20160107:1755,0.00,0.00,0.00,0.00,6.65,3.56,0
20160107:1855,0.00,0.00,0.00,0.00,7.02,3.23,0
20160107:1955,0.00,0.00,0.00,0.00,6.74,2.92,0
20160107:2055,0.00,0.00,0.00,0.00,6.46,2.62,0
20160107:2155,0.00,0.00,0.00,0.00,6.18,2.32,0
20160107:2255,0.00,0.00,0.00,0.00,5.91,2.04,0
20160107:2355,0.00,0.00,0.00,0.00,5.64,1.76,0
20160108:0055,0.00,0.00,0.00,0.00,5.37,1.48,0
20160108:0155,0.00,0.00,0.00,0.00,5.26,1.35,0
20160108:0255,0.00,0.00,0.00,0.00,5.15,1.23,0
20160108:0355,0.00,0.00,0.00,0.00,5.04,1.10,0
20160108:0455,0.00,0.00,0.00,0.00,4.72,1.16,0
20160108:0555,0.00,0.00,0.00,0.00,4.40,1.21,0
20160108:0655,0.00,0.00,0.00,0.00,4.08,1.27,0
20160108:0755,0.00,21.55,0.00,5.72,4.34,1.09,0
20160108:0855,0.00,36.50,0.00,12.51,4.59,0.92,0
20160108:0955,0.00,61.60,0.00,17.44,4.85,0.74,0
20160108:1055,0.00,28.70,0.00,20.10,6.03,1.11,0
20160108:1155,0.00,63.70,0.00,20.18,7.20,1.47,0
20160108:1255,0.00,23.00,0.00,17.70,8.38,1.83,0
20160108:1355,0.10,53.40,0.00,12.90,8.25,1.77,0
20160108:1455,0.00,8.45,0.00,6.22,8.12,1.70,0
20160108:1555,0.00,0.00,0.00,0.00,8.00,1.63,0
20160108:1655,0.00,0.00,0.00,0.00,7.81,2.05,0
20160108:1755,0.00,0.00,0.00,0.00,7.62,2.46,0
20160108:1855,0.00,0.00,0.00,0.00,7.43,2.88,0
20160108:1955,0.00,0.00,0.00,0.00,7.29,3.01,0
20160108:2055,0.00,0.00,0.00,0.00,7.15,3.13,0
20160108:2155,0.00,0.00,0.00,0.00,7.02,3.26,0
20160108:2255,0.00,0.00,0.00,0.00,6.88,3.12,0
20160108:2355,0.00,0.00,0.00,0.00,6.74,2.99,0
20160109:0055,0.00,0.00,0.00,0.00,6.60,2.86,0
